V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-5.000e-01	 2.7197e-07	 2.2130e+11	 2.2300e+11	 2.2040e+11	 2.2201e+11
-4.500e-01	 2.7259e-07	 2.2718e+11	 2.2888e+11	 2.2628e+11	 2.2788e+11
-4.000e-01	 2.7316e-07	 2.3321e+11	 2.3491e+11	 2.3231e+11	 2.3391e+11
-3.500e-01	 2.7373e-07	 2.3939e+11	 2.4110e+11	 2.3850e+11	 2.4010e+11
-3.000e-01	 2.7431e-07	 2.4574e+11	 2.4745e+11	 2.4485e+11	 2.4645e+11
-2.500e-01	 2.7492e-07	 2.5225e+11	 2.5396e+11	 2.5137e+11	 2.5296e+11
-2.000e-01	 2.7556e-07	 2.5894e+11	 2.6066e+11	 2.5806e+11	 2.5966e+11
-1.500e-01	 2.7625e-07	 2.6582e+11	 2.6755e+11	 2.6495e+11	 2.6655e+11
-1.000e-01	 2.7699e-07	 2.7292e+11	 2.7465e+11	 2.7205e+11	 2.7365e+11
-5.000e-02	 2.7780e-07	 2.8025e+11	 2.8198e+11	 2.7938e+11	 2.8098e+11
 0.000e+00	 2.7869e-07	 2.8783e+11	 2.8957e+11	 2.8697e+11	 2.8857e+11
 5.000e-02	 2.7967e-07	 2.9569e+11	 2.9744e+11	 2.9484e+11	 2.9644e+11
 1.000e-01	 2.8076e-07	 3.0387e+11	 3.0563e+11	 3.0303e+11	 3.0463e+11
 1.500e-01	 2.8200e-07	 3.1241e+11	 3.1417e+11	 3.1158e+11	 3.1317e+11
 2.000e-01	 2.8342e-07	 3.2136e+11	 3.2313e+11	 3.2053e+11	 3.2213e+11
 2.500e-01	 2.8507e-07	 3.3078e+11	 3.3256e+11	 3.2996e+11	 3.3156e+11
 3.000e-01	 2.8702e-07	 3.4075e+11	 3.4254e+11	 3.3995e+11	 3.4154e+11
 3.500e-01	 2.8938e-07	 3.5139e+11	 3.5319e+11	 3.5060e+11	 3.5219e+11
 4.000e-01	 2.9229e-07	 3.6284e+11	 3.6466e+11	 3.6207e+11	 3.6366e+11
 4.500e-01	 2.9602e-07	 3.7531e+11	 3.7716e+11	 3.7457e+11	 3.7616e+11
 5.000e-01	 3.0096e-07	 3.8912e+11	 3.9100e+11	 3.8841e+11	 3.9000e+11
