Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 0.000000e+00	 1.44539882e+00	 3.20879592e-01	-4.20805889e+01	 5.00000000e-01	 3.7170e+03	 1.0003e+16	-1.0000e+16
 1.000000e+01	 1.44539461e+00	 3.20875384e-01	-4.20532373e+01	 5.00000000e-01	 3.7176e+03	 1.0002e+16	-1.0000e+16
 2.000000e+01	 1.44539041e+00	 3.20871179e-01	-4.20506237e+01	 5.00000000e-01	 3.7182e+03	 1.0000e+16	-1.0000e+16
 3.000000e+01	 1.44538620e+00	 3.20866974e-01	-4.20727425e+01	 5.00000000e-01	 3.7188e+03	 9.9985e+15	-1.0000e+16
 4.000000e+01	 1.44538200e+00	 3.20862767e-01	-4.21196027e+01	 5.00000000e-01	 3.7195e+03	 9.9969e+15	-1.0000e+16
 5.000000e+01	 1.44537779e+00	 3.20858555e-01	-4.21912278e+01	 5.00000000e-01	 3.7201e+03	 9.9953e+15	-1.0000e+16
 6.000000e+01	 1.44537357e+00	 3.20854335e-01	-4.22876559e+01	 5.00000000e-01	 3.7207e+03	 9.9937e+15	-1.0000e+16
 7.000000e+01	 1.44536934e+00	 3.20850107e-01	-4.24089397e+01	 5.00000000e-01	 3.7213e+03	 9.9920e+15	-1.0000e+16
 8.000000e+01	 1.44536510e+00	 3.20845866e-01	-4.25551462e+01	 5.00000000e-01	 3.7219e+03	 9.9904e+15	-1.0000e+16
 9.000000e+01	 1.44536084e+00	 3.20841610e-01	-4.27263575e+01	 5.00000000e-01	 3.7225e+03	 9.9887e+15	-1.0000e+16
 1.000000e+02	 1.44535657e+00	 3.20837338e-01	-4.29226698e+01	 5.00000000e-01	 3.7231e+03	 9.9871e+15	-1.0000e+16
 1.100000e+02	 1.44535228e+00	 3.20833045e-01	-4.31441943e+01	 5.00000000e-01	 3.7237e+03	 9.9854e+15	-1.0000e+16
 1.200000e+02	 1.44534796e+00	 3.20828731e-01	-4.33910570e+01	 5.00000000e-01	 3.7244e+03	 9.9838e+15	-1.0000e+16
 1.300000e+02	 1.44534362e+00	 3.20824392e-01	-4.36633986e+01	 5.00000000e-01	 3.7250e+03	 9.9821e+15	-1.0000e+16
 1.400000e+02	 1.44533926e+00	 3.20820025e-01	-4.39613747e+01	 5.00000000e-01	 3.7256e+03	 9.9804e+15	-1.0000e+16
 1.500000e+02	 1.44533486e+00	 3.20815629e-01	-4.42851558e+01	 5.00000000e-01	 3.7262e+03	 9.9787e+15	-1.0000e+16
 1.600000e+02	 1.44533043e+00	 3.20811201e-01	-4.46349275e+01	 5.00000000e-01	 3.7269e+03	 9.9770e+15	-1.0000e+16
 1.700000e+02	 1.44532597e+00	 3.20806737e-01	-4.50108907e+01	 5.00000000e-01	 3.7275e+03	 9.9753e+15	-1.0000e+16
 1.800000e+02	 1.44532147e+00	 3.20802236e-01	-4.54132613e+01	 5.00000000e-01	 3.7282e+03	 9.9735e+15	-1.0000e+16
 1.900000e+02	 1.44531693e+00	 3.20797695e-01	-4.58422709e+01	 5.00000000e-01	 3.7288e+03	 9.9718e+15	-1.0000e+16
 2.000000e+02	 1.44531234e+00	 3.20793111e-01	-4.62981661e+01	 5.00000000e-01	 3.7295e+03	 9.9700e+15	-1.0000e+16
 2.100000e+02	 1.44530771e+00	 3.20788481e-01	-4.67812098e+01	 5.00000000e-01	 3.7302e+03	 9.9682e+15	-1.0000e+16
 2.200000e+02	 1.44530303e+00	 3.20783803e-01	-4.72916800e+01	 5.00000000e-01	 3.7308e+03	 9.9664e+15	-1.0000e+16
 2.300000e+02	 1.44529830e+00	 3.20779074e-01	-4.78298711e+01	 5.00000000e-01	 3.7315e+03	 9.9646e+15	-1.0000e+16
 2.400000e+02	 1.44529352e+00	 3.20774291e-01	-4.83960934e+01	 5.00000000e-01	 3.7322e+03	 9.9628e+15	-1.0000e+16
 2.500000e+02	 1.44528868e+00	 3.20769451e-01	-4.89906734e+01	 5.00000000e-01	 3.7329e+03	 9.9609e+15	-1.0000e+16
 2.600000e+02	 1.44528378e+00	 3.20764552e-01	-4.96139541e+01	 5.00000000e-01	 3.7336e+03	 9.9590e+15	-1.0000e+16
 2.700000e+02	 1.44527882e+00	 3.20759591e-01	-5.02662951e+01	 5.00000000e-01	 3.7343e+03	 9.9571e+15	-1.0000e+16
 2.800000e+02	 1.44527379e+00	 3.20754564e-01	-5.09480729e+01	 5.00000000e-01	 3.7351e+03	 9.9552e+15	-1.0000e+16
 2.900000e+02	 1.44526870e+00	 3.20749469e-01	-5.16596808e+01	 5.00000000e-01	 3.7358e+03	 9.9532e+15	-1.0000e+16
 3.000000e+02	 1.44526353e+00	 3.20744303e-01	-5.24015295e+01	 5.00000000e-01	 3.7365e+03	 9.9512e+15	-1.0000e+16
 3.100000e+02	 1.44525829e+00	 3.20739063e-01	-5.31740471e+01	 5.00000000e-01	 3.7373e+03	 9.9492e+15	-1.0000e+16
 3.200000e+02	 1.44525298e+00	 3.20733746e-01	-5.39776793e+01	 5.00000000e-01	 3.7381e+03	 9.9472e+15	-1.0000e+16
 3.300000e+02	 1.44524758e+00	 3.20728348e-01	-5.48128900e+01	 5.00000000e-01	 3.7388e+03	 9.9451e+15	-1.0000e+16
 3.400000e+02	 1.44524210e+00	 3.20722867e-01	-5.56801608e+01	 5.00000000e-01	 3.7396e+03	 9.9430e+15	-1.0000e+16
 3.500000e+02	 1.44523653e+00	 3.20717298e-01	-5.65799922e+01	 5.00000000e-01	 3.7404e+03	 9.9408e+15	-1.0000e+16
 3.600000e+02	 1.44523087e+00	 3.20711640e-01	-5.75129032e+01	 5.00000000e-01	 3.7413e+03	 9.9386e+15	-1.0000e+16
 3.700000e+02	 1.44522512e+00	 3.20705889e-01	-5.84794317e+01	 5.00000000e-01	 3.7421e+03	 9.9364e+15	-1.0000e+16
 3.800000e+02	 1.44521927e+00	 3.20700041e-01	-5.94801351e+01	 5.00000000e-01	 3.7429e+03	 9.9342e+15	-1.0000e+16
 3.900000e+02	 1.44521332e+00	 3.20694093e-01	-6.05155902e+01	 5.00000000e-01	 3.7438e+03	 9.9319e+15	-1.0000e+16
 4.000000e+02	 1.44520727e+00	 3.20688042e-01	-6.15863938e+01	 5.00000000e-01	 3.7447e+03	 9.9296e+15	-1.0000e+16
 4.100000e+02	 1.44520111e+00	 3.20681883e-01	-6.26931629e+01	 5.00000000e-01	 3.7456e+03	 9.9272e+15	-1.0000e+16
 4.200000e+02	 1.44519484e+00	 3.20675614e-01	-6.38365351e+01	 5.00000000e-01	 3.7465e+03	 9.9248e+15	-1.0000e+16
 4.300000e+02	 1.44518846e+00	 3.20669230e-01	-6.50171687e+01	 5.00000000e-01	 3.7474e+03	 9.9224e+15	-1.0000e+16
 4.400000e+02	 1.44518196e+00	 3.20662728e-01	-6.62357434e+01	 5.00000000e-01	 3.7483e+03	 9.9199e+15	-1.0000e+16
 4.500000e+02	 1.44517534e+00	 3.20656105e-01	-6.74929606e+01	 5.00000000e-01	 3.7493e+03	 9.9173e+15	-1.0000e+16
 4.600000e+02	 1.44516859e+00	 3.20649355e-01	-6.87895435e+01	 5.00000000e-01	 3.7503e+03	 9.9147e+15	-1.0000e+16
 4.700000e+02	 1.44516171e+00	 3.20642477e-01	-7.01262377e+01	 5.00000000e-01	 3.7513e+03	 9.9121e+15	-1.0000e+16
 4.800000e+02	 1.44515469e+00	 3.20635464e-01	-7.15038118e+01	 5.00000000e-01	 3.7523e+03	 9.9094e+15	-1.0000e+16
 4.900000e+02	 1.44514754e+00	 3.20628314e-01	-7.29230574e+01	 5.00000000e-01	 3.7533e+03	 9.9067e+15	-1.0000e+16
 5.000000e+02	 1.44514025e+00	 3.20621021e-01	-7.43847897e+01	 5.00000000e-01	 3.7544e+03	 9.9039e+15	-1.0000e+16
