depth	Na	Nd
100	1.28E+16	5.08E+16
120.023	3.79E+16	5.00E+16
223.621	6.81E+16	4.68E+16
329.106	8.68E+16	4.47E+16
436.512	1.04E+17	4.36E+16
545.873	1.21E+17	4.30E+16
657.226	1.35E+17	4.29E+16
770.606	1.45E+17	4.29E+16
886.051	1.50E+17	4.29E+16
1003.598	1.49E+17	4.29E+16
1123.29	1.42E+17	4.29E+16
1245.15	1.30E+17	4.28E+16
1369.24	1.13E+17	4.28E+16
1495.58	9.49E+16	4.27E+16
1624.23	7.59E+16	4.26E+16
1755.22	5.83E+16	4.26E+16
1888.59	4.31E+16	4.25E+16
2024.4	3.10E+16	4.25E+16
2162.67	2.19E+16	4.24E+16
2303.47	1.53E+16	4.24E+16
2446.82	1.08E+16	4.23E+16
2592.79	7.77E+15	4.23E+16
2741.42	5.68E+15	4.22E+16
2892.75	4.24E+15	4.21E+16
3046.84	3.22E+15	4.20E+16
3203.73	2.50E+15	4.20E+16
3363.48	1.98E+15	4.19E+16
3526.14	1.62E+15	4.18E+16
3691.76	1.38E+15	4.16E+16
3860.4	1.22E+15	4.15E+16
4032.11	1.11E+15	4.14E+16
4206.95	1.05E+15	4.13E+16
4384.96	1.02E+15	4.11E+16
4566.22	9.99E+14	4.10E+16
4750.79	9.90E+14	4.08E+16
4938.71	9.86E+14	4.07E+16
5130.05	9.85E+14	4.05E+16
5324.88	9.85E+14	4.03E+16
5523.25	9.85E+14	4.01E+16
5725.24	9.86E+14	3.99E+16
5930.91	9.86E+14	3.97E+16
6140.32	9.87E+14	3.95E+16
6353.54	9.87E+14	3.93E+16
6570.65	9.88E+14	3.90E+16
6791.71	9.88E+14	3.88E+16
7016.8	9.89E+14	3.85E+16
7245.98	9.89E+14	3.82E+16
7479.34	9.90E+14	3.79E+16
7716.95	9.90E+14	3.76E+16
7958.88	9.91E+14	3.73E+16
8205.22	9.91E+14	3.70E+16
8456.04	9.92E+14	3.67E+16
8711.44	9.92E+14	3.63E+16
8971.48	9.93E+14	3.59E+16
9236.26	9.93E+14	3.56E+16
9505.86	9.93E+14	3.52E+16
9780.36	9.94E+14	3.48E+16
10059.87	9.94E+14	3.43E+16
10344.5	9.94E+14	3.39E+16
10634.2	9.95E+14	3.34E+16
10929.3	9.95E+14	3.30E+16
11229.7	9.95E+14	3.25E+16
11535.6	9.95E+14	3.20E+16
11847.1	9.96E+14	3.15E+16
12164.2	9.96E+14	3.09E+16
12487.2	9.96E+14	3.04E+16
12816	9.96E+14	2.98E+16
13150.7	9.96E+14	2.93E+16
13491.6	9.97E+14	2.87E+16
13838.7	9.97E+14	2.81E+16
14192.1	9.97E+14	2.75E+16
14552	9.97E+14	2.68E+16
14918.4	9.97E+14	2.62E+16
15284.9	9.97E+14	2.56E+16
15681.4	9.97E+14	2.49E+16
16110.6	9.97E+14	2.41E+16
16574.9	9.97E+14	2.33E+16
17077.4	9.98E+14	2.25E+16
17621.1	9.98E+14	2.15E+16
18209.5	9.98E+14	2.05E+16
18846.1	9.98E+14	1.95E+16
19535	9.98E+14	1.84E+16
20280.4	9.98E+14	1.72E+16
21087	9.98E+14	1.59E+16
21959.8	9.98E+14	1.46E+16
22904.2	9.98E+14	1.33E+16
23926.2	9.99E+14	1.19E+16
25032	9.99E+14	1.06E+16
26228.6	9.99E+14	9.20E+15
27523.4	9.99E+14	7.86E+15
28924.5	9.99E+14	6.57E+15
30440.6	9.99E+14	5.35E+15
32081.1	9.99E+14	4.24E+15
33856.2	1.00E+15	3.25E+15
35777	1.00E+15	2.39E+15
37855.5	1.00E+15	1.69E+15
40104.6	1.00E+15	1.13E+15
42538.3	1.00E+15	7.19E+14
45171.7	1.00E+15	4.27E+14
48021.3	1.00E+15	2.36E+14
51104.7	1.00E+15	1.20E+14
54441.2	1.00E+15	5.54E+13
58051.6	1.00E+15	2.32E+13
61958.3	1.00E+15	8.63E+12
66185.6	1.00E+15	2.84E+12
70759.9	1.00E+15	8.16E+11
75709.6	1.00E+15	2.02E+11
81065.6	1.00E+15	4.24E+10
86861.2	1.00E+15	7.50E+09
93132.4	1.00E+15	1.10E+09
99918.4	1.00E+15	3.10E+08
