Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 0.000000e+00	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	-0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 6.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 7.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 8.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 9.000000e+01	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.000000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.100000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.200000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.300000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.400000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.500000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.600000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.700000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.800000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.900000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.000000e+02	 6.00000000e-01	-9.18954205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.100000e+02	 6.04328800e-01	-9.21105009e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.200000e+02	 6.08657600e-01	-9.23279018e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.300000e+02	 6.12986400e-01	-9.25476234e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.400000e+02	 6.17315200e-01	-9.27696657e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.500000e+02	 6.21644000e-01	-9.29940285e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.600000e+02	 6.25972800e-01	-9.32207121e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.700000e+02	 6.30301600e-01	-9.34497162e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.800000e+02	 6.34630400e-01	-9.36810410e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.900000e+02	 6.38959200e-01	-9.39146865e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.000000e+02	 6.43288000e-01	-9.41506525e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.100000e+02	 6.47616800e-01	-9.43889393e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.200000e+02	 6.51945600e-01	-9.46295466e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.300000e+02	 6.56274400e-01	-9.48724746e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.400000e+02	 6.60603200e-01	-9.51177233e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.500000e+02	 6.64932000e-01	-9.53652925e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.600000e+02	 6.69260800e-01	-9.56151825e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.700000e+02	 6.73589600e-01	-9.58673930e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.800000e+02	 6.77918400e-01	-9.61219242e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.900000e+02	 6.82247200e-01	-9.63787761e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.000000e+02	 6.86576000e-01	-9.66379485e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.100000e+02	 6.90904800e-01	-9.68994417e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.200000e+02	 6.95233600e-01	-9.71632554e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.300000e+02	 6.99562400e-01	-9.74293898e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.400000e+02	 7.03891200e-01	-9.76978449e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.500000e+02	 7.08220000e-01	-9.79686205e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.600000e+02	 7.12548800e-01	-9.82417169e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.700000e+02	 7.16877600e-01	-9.85171338e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.800000e+02	 7.21206400e-01	-9.87948714e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.900000e+02	 7.25535200e-01	-9.90749297e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.000000e+02	 7.29864000e-01	-9.93573085e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.100000e+02	 7.34192800e-01	-9.96420081e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.200000e+02	 7.38521600e-01	-9.99290282e-01	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.300000e+02	 7.42850400e-01	-1.00218369e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.400000e+02	 7.47179200e-01	-1.00510030e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.500000e+02	 7.51508000e-01	-1.00804013e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.600000e+02	 7.55836800e-01	-1.01100315e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.700000e+02	 7.60165600e-01	-1.01398939e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.800000e+02	 7.64494400e-01	-1.01699883e+00	 0.00000000e+00	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
