Depth	n	p
0.00E+00	3.62E+07	1.36E+05
1.00E+01	1.17E+08	4.21E+04
2.00E+01	3.80E+08	1.30E+04
3.00E+01	1.23E+09	4.02E+03
4.00E+01	3.98E+09	1.24E+03
5.00E+01	2.63E+06	1.29E+00
6.00E+01	9.27E+06	3.66E-01
7.00E+01	3.27E+07	1.04E-01
8.00E+01	1.16E+08	2.94E-02
9.00E+01	4.08E+08	8.34E-03
1.00E+02	1.44E+09	2.36E-03
1.10E+02	5.08E+09	6.69E-04
1.20E+02	1.79E+10	1.90E-04
1.30E+02	6.32E+10	5.37E-05
1.40E+02	2.23E+11	1.52E-05
1.50E+02	7.88E+11	4.31E-06
1.60E+02	2.62E+12	1.29E-06
1.70E+02	8.26E+12	4.11E-07
1.80E+02	2.45E+13	1.38E-07
1.90E+02	6.88E+13	4.94E-08
2.00E+02	1.82E+14	1.86E-08
2.10E+02	4.56E+14	7.45E-09
2.20E+02	1.08E+15	3.15E-09
2.30E+02	2.40E+15	1.41E-09
2.40E+02	5.06E+15	6.71E-10
2.50E+02	1.01E+16	3.37E-10
2.60E+02	1.88E+16	1.80E-10
2.70E+02	3.31E+16	1.01E-10
2.80E+02	5.50E+16	6.01E-11
2.90E+02	8.62E+16	3.78E-11
3.00E+02	1.28E+17	2.50E-11
3.10E+02	1.79E+17	1.74E-11
3.20E+02	2.38E+17	1.27E-11
3.30E+02	3.02E+17	9.67E-12
3.40E+02	3.69E+17	7.67E-12
3.50E+02	4.34E+17	6.31E-12
3.60E+02	4.95E+17	5.36E-12
3.70E+02	5.51E+17	4.69E-12
3.80E+02	5.99E+17	4.21E-12
3.90E+02	6.39E+17	3.86E-12
4.00E+02	6.71E+17	3.62E-12
4.10E+02	6.94E+17	3.46E-12
4.20E+02	7.09E+17	3.36E-12
4.30E+02	7.15E+17	3.32E-12
4.40E+02	7.13E+17	3.34E-12
4.50E+02	7.01E+17	3.41E-12
4.60E+02	6.82E+17	3.55E-12
4.70E+02	6.53E+17	3.75E-12
4.80E+02	6.16E+17	4.05E-12
4.90E+02	5.71E+17	4.47E-12
5.00E+02	5.18E+17	5.06E-12
5.10E+02	4.59E+17	5.89E-12
5.20E+02	3.95E+17	7.06E-12
5.30E+02	3.29E+17	8.77E-12
5.40E+02	2.63E+17	1.13E-11
5.50E+02	2.02E+17	1.52E-11
5.60E+02	1.55E+17	2.03E-11
5.70E+02	1.20E+17	2.68E-11
5.80E+02	9.25E+16	3.51E-11
5.90E+02	7.17E+16	4.57E-11
6.00E+02	5.57E+16	5.93E-11
6.10E+02	4.33E+16	7.67E-11
6.20E+02	3.37E+16	9.90E-11
6.30E+02	2.63E+16	1.28E-10
6.40E+02	2.05E+16	1.64E-10
6.50E+02	1.60E+16	2.11E-10
6.60E+02	1.26E+16	2.71E-10
6.70E+02	9.79E+15	3.47E-10
6.80E+02	7.64E+15	4.45E-10
6.90E+02	5.96E+15	5.70E-10
7.00E+02	4.66E+15	7.30E-10
7.10E+02	3.64E+15	9.35E-10
7.20E+02	2.84E+15	1.20E-09
7.30E+02	2.22E+15	1.53E-09
7.40E+02	1.73E+15	1.96E-09
7.50E+02	1.35E+15	2.51E-09
7.60E+02	1.06E+15	3.21E-09
7.70E+02	8.28E+14	4.11E-09
7.80E+02	6.47E+14	5.25E-09
7.90E+02	5.06E+14	6.72E-09
8.00E+02	3.95E+14	8.60E-09
8.10E+02	3.09E+14	1.10E-08
8.20E+02	2.41E+14	1.41E-08
8.30E+02	1.89E+14	1.80E-08
8.40E+02	1.48E+14	2.30E-08
8.50E+02	4.07E+17	8.74E-06
8.60E+02	3.47E+17	1.08E-05
8.70E+02	2.99E+17	1.30E-05
8.80E+02	2.59E+17	1.55E-05
8.90E+02	2.27E+17	1.81E-05
9.00E+02	2.00E+17	2.10E-05
9.10E+02	1.78E+17	2.41E-05
9.20E+02	1.59E+17	2.73E-05
9.30E+02	1.43E+17	3.08E-05
9.40E+02	1.29E+17	3.44E-05
9.50E+02	1.18E+17	3.81E-05
9.60E+02	1.08E+17	4.20E-05
9.70E+02	9.89E+16	4.61E-05
9.80E+02	9.13E+16	5.02E-05
9.90E+02	8.46E+16	5.45E-05
1.00E+03	7.87E+16	5.89E-05
1.01E+03	7.34E+16	6.33E-05
1.02E+03	6.88E+16	6.79E-05
1.03E+03	6.47E+16	7.24E-05
1.04E+03	6.10E+16	7.71E-05
1.05E+03	5.76E+16	8.17E-05
1.06E+03	5.47E+16	8.64E-05
1.07E+03	5.20E+16	9.11E-05
1.08E+03	4.95E+16	9.57E-05
1.09E+03	4.73E+16	1.00E-04
1.10E+03	4.53E+16	1.05E-04
1.11E+03	4.35E+16	1.09E-04
1.12E+03	4.19E+16	1.14E-04
1.13E+03	4.04E+16	1.18E-04
1.14E+03	3.90E+16	1.23E-04
1.15E+03	3.78E+16	1.27E-04
1.16E+03	3.66E+16	1.31E-04
1.17E+03	3.56E+16	1.35E-04
1.18E+03	3.47E+16	1.38E-04
1.19E+03	3.38E+16	1.42E-04
1.20E+03	3.30E+16	1.46E-04
1.21E+03	3.23E+16	1.49E-04
1.22E+03	3.17E+16	1.52E-04
1.23E+03	3.11E+16	1.55E-04
1.24E+03	3.06E+16	1.57E-04
1.25E+03	3.01E+16	1.60E-04
1.26E+03	2.97E+16	1.62E-04
1.27E+03	2.94E+16	1.64E-04
1.28E+03	2.91E+16	1.66E-04
1.29E+03	2.88E+16	1.67E-04
1.30E+03	2.86E+16	1.69E-04
1.31E+03	2.84E+16	1.70E-04
1.32E+03	2.83E+16	1.70E-04
1.33E+03	2.82E+16	1.71E-04
1.34E+03	2.82E+16	1.71E-04
1.35E+03	5.89E+12	5.77E-07
1.36E+03	5.89E+12	5.77E-07
1.37E+03	5.89E+12	5.77E-07
1.38E+03	5.89E+12	5.77E-07
1.39E+03	5.89E+12	5.77E-07
1.40E+03	5.89E+12	5.77E-07
1.41E+03	5.89E+12	5.77E-07
1.42E+03	5.89E+12	5.77E-07
1.43E+03	5.89E+12	5.77E-07
1.44E+03	5.89E+12	5.77E-07
1.45E+03	5.89E+12	5.77E-07
1.46E+03	5.88E+12	5.77E-07
1.47E+03	5.88E+12	5.77E-07
1.48E+03	5.88E+12	5.77E-07
1.49E+03	5.88E+12	5.77E-07
1.50E+03	5.88E+12	5.77E-07
1.51E+03	5.88E+12	5.77E-07
1.52E+03	5.88E+12	5.77E-07
1.53E+03	5.88E+12	5.77E-07
1.54E+03	5.88E+12	5.77E-07
1.55E+03	5.88E+12	5.77E-07
1.56E+03	5.88E+12	5.78E-07
1.57E+03	5.88E+12	5.78E-07
1.58E+03	5.88E+12	5.78E-07
1.59E+03	5.88E+12	5.78E-07
1.60E+03	5.88E+12	5.78E-07
1.61E+03	5.88E+12	5.78E-07
1.62E+03	5.88E+12	5.78E-07
1.63E+03	5.88E+12	5.78E-07
1.64E+03	5.88E+12	5.78E-07
1.65E+03	5.88E+12	5.78E-07
1.66E+03	5.88E+12	5.78E-07
1.67E+03	5.88E+12	5.78E-07
1.68E+03	5.88E+12	5.78E-07
1.69E+03	5.88E+12	5.78E-07
1.70E+03	5.88E+12	5.78E-07
1.71E+03	5.88E+12	5.78E-07
1.72E+03	5.88E+12	5.78E-07
1.73E+03	5.88E+12	5.78E-07
1.74E+03	5.88E+12	5.78E-07
1.75E+03	5.88E+12	5.78E-07
1.76E+03	5.88E+12	5.78E-07
1.77E+03	5.88E+12	5.78E-07
1.78E+03	5.88E+12	5.78E-07
1.79E+03	5.88E+12	5.78E-07
1.80E+03	5.88E+12	5.78E-07
1.81E+03	5.88E+12	5.78E-07
1.82E+03	5.88E+12	5.78E-07
1.83E+03	5.88E+12	5.78E-07
1.84E+03	5.88E+12	5.78E-07
1.85E+03	5.88E+12	5.78E-07
