Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 0.000000e+00	 7.50000000e+00	-7.50000000e+00	 1.74824162e+05	-0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.000000e+01	 7.51748242e+00	-7.48251758e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.000000e+01	 7.53496483e+00	-7.46503517e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.000000e+01	 7.55244725e+00	-7.44755275e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.000000e+01	 7.56992966e+00	-7.43007034e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 5.000000e+01	 7.58741208e+00	-7.41258792e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 6.000000e+01	 7.60489450e+00	-7.39510550e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 7.000000e+01	 7.62237691e+00	-7.37762309e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 8.000000e+01	 7.63985933e+00	-7.36014067e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 9.000000e+01	 7.65734175e+00	-7.34265825e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.000000e+02	 7.67482416e+00	-7.32517584e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.100000e+02	 7.69230658e+00	-7.30769342e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.200000e+02	 7.70978899e+00	-7.29021101e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.300000e+02	 7.72727141e+00	-7.27272859e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.400000e+02	 7.74475383e+00	-7.25524617e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.500000e+02	 7.76223624e+00	-7.23776376e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.600000e+02	 7.77971866e+00	-7.22028134e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.700000e+02	 7.79720108e+00	-7.20279892e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.800000e+02	 7.81468349e+00	-7.18531651e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 1.900000e+02	 7.83216591e+00	-7.16783409e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.000000e+02	 7.84964832e+00	-7.15035168e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.100000e+02	 7.86713074e+00	-7.13286926e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.200000e+02	 7.88461316e+00	-7.11538684e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.300000e+02	 7.90209557e+00	-7.09790443e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.400000e+02	 7.91957799e+00	-7.08042201e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.500000e+02	 7.93706041e+00	-7.06293959e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.600000e+02	 7.95454282e+00	-7.04545718e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.700000e+02	 7.97202524e+00	-7.02797476e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.800000e+02	 7.98950765e+00	-7.01049235e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 2.900000e+02	 8.00699007e+00	-6.99300993e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.000000e+02	 8.02447249e+00	-6.97552751e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.100000e+02	 8.04195490e+00	-6.95804510e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.200000e+02	 8.05943732e+00	-6.94056268e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.300000e+02	 8.07691973e+00	-6.92308027e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.400000e+02	 8.09440215e+00	-6.90559785e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.500000e+02	 8.11188457e+00	-6.88811543e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.600000e+02	 8.12936698e+00	-6.87063302e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.700000e+02	 8.14684940e+00	-6.85315060e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.800000e+02	 8.16433182e+00	-6.83566818e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 3.900000e+02	 8.18181423e+00	-6.81818577e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.000000e+02	 8.19929665e+00	-6.80070335e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.100000e+02	 8.21677906e+00	-6.78322094e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.200000e+02	 8.23426148e+00	-6.76573852e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.300000e+02	 8.25174390e+00	-6.74825610e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.400000e+02	 8.26922631e+00	-6.73077369e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.500000e+02	 8.28670873e+00	-6.71329127e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
 4.600000e+02	 8.30419115e+00	-6.69580885e+00	 1.74824162e+05	 0.00000000e+00	 1.0000e-10	 1.0000e-10	 0.0000e+00
