[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.999927E+00	-3.107226E-09
-5.880228E+00	-1.849647E-09
-5.760130E+00	-7.166573E-09
-5.640117E+00	-6.936054E-09
-5.520712E+00	-9.054849E-09
-5.399689E+00	-7.671873E-10
-5.279276E+00	-4.631137E-09
-5.159367E+00	-6.550702E-09
-5.039492E+00	-8.184093E-09
-4.917660E+00	-1.899706E-09
-4.799286E+00	-2.922011E-09
-4.677402E+00	-8.113702E-09
-4.558788E+00	-6.856168E-09
-4.438647E+00	-1.874664E-09
-4.318427E+00	-3.092459E-09
-4.198582E+00	-8.423623E-10
-4.077824E+00	-2.506150E-09
-3.957579E+00	-6.134339E-09
-3.838356E+00	-8.238866E-09
-3.718318E+00	-6.550047E-09
-3.599393E+00	-1.724438E-09
-3.477694E+00	-6.569631E-10
-3.358482E+00	-2.591306E-09
-3.239015E+00	-7.612739E-09
-3.118453E+00	-5.938855E-09
-3.000071E+00	-6.459661E-09
-2.878805E+00	-1.253280E-09
-2.758531E+00	-2.551143E-09
-2.639599E+00	-4.414583E-10
-2.519594E+00	-7.497102E-09
-2.399401E+00	-5.678106E-09
-2.277919E+00	-7.868094E-09
-2.159310E+00	-4.385289E-09
-2.038826E+00	-1.518888E-09
-1.918697E+00	-1.959031E-10
-1.798470E+00	-3.212662E-09
-1.678357E+00	-5.352457E-09
-1.557433E+00	-8.169234E-09
-1.438163E+00	-3.002255E-09
-1.317957E+00	-1.904785E-09
-1.197884E+00	-5.242546E-09
-1.079419E+00	-7.095857E-09
-9.587530E-01	-4.981981E-09
-8.393105E-01	-6.618984E-10
-7.194333E-01	-4.816083E-09
-5.992512E-01	-5.898722E-09
-4.791411E-01	-4.816324E-09
-3.594922E-01	+5.456595E-10
-2.393186E-01	-1.238282E-09
-1.194010E-01	-5.492928E-09
+1.216749E-03	-1.574023E-09
+1.177066E-01	+3.448113E-08
+2.401330E-01	+4.553802E-07
+3.587168E-01	+4.935099E-06
+4.788215E-01	+5.854786E-05
+5.972708E-01	+7.055407E-04
+7.185448E-01	+7.087753E-03
+8.385561E-01	+3.940097E-02
+9.578140E-01	+1.131747E-01
+1.078647E+00	+2.174072E-01
+1.198049E+00	+3.399354E-01
+1.317715E+00	+4.738306E-01
+1.437515E+00	+6.113953E-01
+1.557559E+00	+7.507861E-01
+1.678052E+00	+8.871450E-01
+1.778531E+00	+9.997101E-01
+1.778493E+00	+1.000190E+00
+1.778681E+00	+9.997818E-01
+1.778944E+00	+9.999177E-01
+1.777566E+00	+9.993666E-01
+1.777854E+00	+9.996672E-01
+1.777403E+00	+9.995956E-01
+1.778117E+00	+1.000061E+00
+1.777867E+00	+1.000032E+00
+1.777491E+00	+9.999964E-01
+1.777892E+00	+9.997889E-01
+1.777390E+00	+1.000240E+00
+1.777817E+00	+9.999034E-01
+1.777202E+00	+9.998462E-01
+1.776977E+00	+9.996815E-01
+1.777328E+00	+1.000011E+00
+1.776889E+00	+1.000040E+00
+1.776927E+00	+9.997602E-01
+1.777102E+00	+9.998462E-01
+1.777177E+00	+9.998389E-01
+1.777253E+00	+9.998176E-01
+1.776563E+00	+9.996243E-01
+1.776989E+00	+9.996887E-01
+1.777453E+00	+1.000018E+00
+1.777466E+00	+9.998819E-01
+1.777691E+00	+9.997388E-01
+1.776701E+00	+9.997389E-01
+1.777528E+00	+9.999107E-01
+1.777716E+00	+9.998603E-01
+1.777616E+00	+9.998603E-01
+1.777729E+00	+1.000011E+00
+1.777892E+00	+9.997889E-01
+1.778105E+00	+9.999465E-01
+1.778218E+00	+9.998533E-01
+1.777829E+00	+9.995528E-01
+1.778456E+00	+1.000276E+00

