[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-5.999784E+00	-9.449170E-01
-5.879842E+00	-7.519796E-01
-5.759988E+00	-5.852811E-01
-5.639774E+00	-4.325096E-01
-5.520024E+00	-2.709937E-01
-5.399750E+00	-1.246566E-01
-5.278960E+00	-3.021987E-02
-5.158971E+00	-8.565145E-03
-5.039175E+00	-3.993496E-03
-4.919245E+00	-2.281441E-03
-4.799624E+00	-1.433114E-03
-4.679873E+00	-9.518631E-04
-4.559098E+00	-6.545507E-04
-4.438916E+00	-4.606572E-04
-4.318148E+00	-3.282347E-04
-4.198731E+00	-2.359308E-04
-4.078137E+00	-1.705319E-04
-3.958123E+00	-1.233568E-04
-3.837827E+00	-8.900074E-05
-3.718872E+00	-6.399720E-05
-3.599413E+00	-4.578373E-05
-3.478822E+00	-3.243722E-05
-3.358886E+00	-2.276913E-05
-3.239332E+00	-1.579705E-05
-3.118119E+00	-1.082820E-05
-2.999778E+00	-7.301261E-06
-2.879745E+00	-4.853805E-06
-2.760659E+00	-3.177046E-06
-2.639981E+00	-2.040955E-06
-2.519302E+00	-1.290011E-06
-2.399239E+00	-7.943143E-07
-2.279240E+00	-4.816877E-07
-2.158724E+00	-2.921021E-07
-2.038212E+00	-1.764058E-07
-1.918998E+00	-1.021050E-07
-1.798684E+00	-6.116796E-08
-1.677215E+00	-4.311361E-08
-1.558835E+00	-3.247801E-08
-1.438084E+00	-1.910896E-08
-1.318009E+00	-1.683306E-08
-1.198399E+00	-1.276898E-08
-1.077091E+00	-1.513939E-08
-9.585896E-01	-1.356095E-08
-8.386580E-01	-7.857959E-09
-7.179930E-01	-6.089412E-09
-6.004742E-01	-4.069088E-09
-4.782280E-01	-8.985533E-09
-3.606870E-01	-6.258863E-09
-2.395116E-01	-6.059083E-09
-1.186941E-01	-5.967957E-10
+9.162966E-04	+1.537829E-09
+1.191154E-01	+8.582847E-09
+2.387156E-01	+7.472896E-08
+3.587097E-01	+7.268045E-07
+4.785014E-01	+5.687340E-06
+5.990283E-01	+5.119493E-05
+7.172329E-01	+1.297392E-03
+8.383207E-01	+4.561066E-02
+9.584289E-01	+2.292356E-01
+1.078000E+00	+4.754281E-01
+1.197940E+00	+7.370942E-01
+1.311919E+00	+9.998391E-01
+1.307316E+00	+9.994167E-01
+1.304855E+00	+9.996530E-01
+1.303470E+00	+9.996172E-01
+1.302140E+00	+9.999968E-01
+1.301210E+00	+9.999253E-01
+1.300344E+00	+9.999036E-01
+1.298758E+00	+9.999179E-01
+1.298029E+00	+9.998748E-01
+1.296927E+00	+9.995456E-01
+1.296215E+00	+9.998176E-01
+1.294402E+00	+9.995313E-01
+1.294657E+00	+9.997245E-01
+1.293254E+00	+9.998248E-01
+1.292925E+00	+9.999321E-01
+1.291531E+00	+9.996601E-01
+1.291267E+00	+9.998892E-01
+1.290438E+00	+9.997675E-01
+1.289736E+00	+9.997174E-01
+1.288988E+00	+1.000061E+00
+1.287895E+00	+9.995384E-01
+1.288442E+00	+9.999251E-01
+1.288068E+00	+9.997460E-01
+1.286263E+00	+9.998462E-01
+1.285817E+00	+9.997103E-01
+1.285106E+00	+9.997032E-01
+1.284414E+00	+1.000061E+00
+1.283703E+00	+9.996029E-01
+1.282910E+00	+9.996601E-01
+1.282745E+00	+9.998892E-01
+1.281981E+00	+9.996387E-01
+1.282262E+00	+9.999034E-01
+1.281105E+00	+1.000061E+00
+1.280631E+00	+9.998821E-01
+1.280604E+00	+9.997604E-01
+1.279593E+00	+1.000305E+00
+1.279292E+00	+9.997533E-01
+1.277969E+00	+9.998677E-01
+1.278352E+00	+9.998533E-01
+1.277532E+00	+9.999393E-01

