[0, 0, 0]
Base Voltage_1 (1)	Base Current_1 (1)	Collector Voltage_2 (1)	Collector Current_2 (1)
+2.999384E-01	+1.488210E-08	+3.500563E-01	+5.632590E-10
+3.032962E-01	+1.650406E-08	+3.534133E-01	+6.413761E-10
+3.065847E-01	+1.837734E-08	+3.567013E-01	+7.037795E-10
+3.099379E-01	+2.020735E-08	+3.600569E-01	+8.328530E-10
+3.132972E-01	+2.246458E-08	+3.634109E-01	+9.486727E-10
+3.165803E-01	+2.490969E-08	+3.667017E-01	+1.076391E-09
+3.199357E-01	+2.768355E-08	+3.700572E-01	+1.229362E-09
+3.232937E-01	+3.082854E-08	+3.734125E-01	+1.407435E-09
+3.265797E-01	+3.424350E-08	+3.767015E-01	+1.595748E-09
+3.299384E-01	+3.812615E-08	+3.800577E-01	+1.819706E-09
+3.332919E-01	+4.253706E-08	+3.834162E-01	+2.073135E-09
+3.365777E-01	+4.735946E-08	+3.867374E-01	+2.369085E-09
+3.399453E-01	+5.290020E-08	+3.900586E-01	+2.695711E-09
+3.432975E-01	+5.903265E-08	+3.934177E-01	+3.074147E-09
+3.465852E-01	+6.576511E-08	+3.967367E-01	+3.498417E-09
+3.499459E-01	+7.356207E-08	+4.000921E-01	+3.988905E-09
+3.533030E-01	+8.225575E-08	+4.034157E-01	+4.550886E-09
+3.565888E-01	+9.187158E-08	+4.067394E-01	+5.171203E-09
+3.599410E-01	+1.028204E-07	+4.100954E-01	+5.897051E-09
+3.632994E-01	+1.150580E-07	+4.134513E-01	+6.735604E-09
+3.666231E-01	+1.288465E-07	+4.167377E-01	+7.662210E-09
+3.699413E-01	+1.442705E-07	+4.200921E-01	+8.722465E-09
+3.732979E-01	+1.617225E-07	+4.234444E-01	+9.941800E-09
+3.766237E-01	+1.812692E-07	+4.267336E-01	+1.132432E-08
+3.799424E-01	+2.030032E-07	+4.300837E-01	+1.290111E-08
+3.833050E-01	+2.278962E-07	+4.334362E-01	+1.469370E-08
+3.866228E-01	+2.553871E-07	+4.367225E-01	+1.674154E-08
+3.899450E-01	+2.863335E-07	+4.400748E-01	+1.904766E-08
+3.933047E-01	+3.212293E-07	+4.434277E-01	+2.170524E-08
+3.966244E-01	+3.602742E-07	+4.467142E-01	+2.470833E-08
+3.999493E-01	+4.038962E-07	+4.500722E-01	+2.815577E-08
+4.033004E-01	+4.534794E-07	+4.534247E-01	+3.205356E-08
+4.066260E-01	+5.086204E-07	+4.567439E-01	+3.649415E-08
+4.099501E-01	+5.698773E-07	+4.600610E-01	+4.153766E-08
+4.133076E-01	+6.396043E-07	+4.634160E-01	+4.731665E-08
+4.166365E-01	+7.168012E-07	+4.667342E-01	+5.388274E-08
+4.199617E-01	+8.035497E-07	+4.700876E-01	+6.132964E-08
+4.233172E-01	+9.005104E-07	+4.734088E-01	+6.992929E-08
+4.266461E-01	+1.008833E-06	+4.767273E-01	+7.960725E-08
