[0, 0, 0]
V_BC_1 (1)	I_BC_1 (1)
-5.001766E+00	+1.544123E-07
-4.900535E+00	-6.224810E-08
-4.805784E+00	-1.421861E-07
-4.699033E+00	+6.093040E-08
-4.600018E+00	+5.356494E-08
-4.501750E+00	-8.592988E-08
-4.404150E+00	-7.490312E-08
-4.306634E+00	+2.457207E-08
-4.199481E+00	+4.959303E-08
-4.101069E+00	-8.387695E-08
-4.002831E+00	-9.010848E-08
-3.918262E+00	+1.635971E-08
-3.798703E+00	+5.057647E-08
-3.701412E+00	-8.303402E-08
-3.600036E+00	+7.672903E-08
-3.497315E+00	+1.284612E-07
-3.399513E+00	-1.463704E-08
-3.304797E+00	-1.152781E-07
-3.200517E+00	+6.135038E-08
-3.092733E+00	+1.177023E-07
-3.001754E+00	-7.021607E-08
-2.906781E+00	-1.740997E-07
-2.799497E+00	+5.286103E-08
-2.696205E+00	+1.241269E-07
-2.602046E+00	-8.311172E-08
-2.501587E+00	-2.547919E-08
-2.416649E+00	+1.496869E-08
-2.298469E+00	+5.063519E-08
-2.201189E+00	-8.043759E-08
-2.104014E+00	+2.222198E-08
-2.013039E+00	+2.060344E-08
-1.897212E+00	+4.874641E-08
-1.799443E+00	-8.010262E-08
-1.700121E+00	+4.883317E-08
-1.599275E+00	+1.679197E-07
-1.499604E+00	-5.079288E-08
-1.403376E+00	-1.208659E-07
-1.299854E+00	+7.477406E-08
-1.200595E+00	+1.490032E-07
-1.101281E+00	-6.695196E-08
-1.002247E+00	-8.948644E-08
-8.994395E-01	+6.768946E-08
-7.977099E-01	+1.262801E-07
-7.012370E-01	-7.556235E-08
-6.042157E-01	-9.480004E-08
-5.030168E-01	+2.755758E-08
-3.989474E-01	+4.833805E-08
-2.996384E-01	-8.332588E-08
-2.012285E-01	-1.552589E-08
-1.124866E-01	+1.251856E-08
+2.766876E-03	+4.920882E-08
+9.935223E-02	-8.010824E-08
+1.976513E-01	+9.175955E-09
+2.859610E-01	+3.021891E-08
+4.019980E-01	+4.570642E-07
+4.993284E-01	+1.078719E-05
+5.991811E-01	+1.500156E-04
+6.992284E-01	+1.230925E-03
+7.983834E-01	+8.521858E-03
+8.996449E-01	+3.764626E-02
+9.998938E-01	+8.727524E-02
+1.099032E+00	+1.466310E-01
+1.199403E+00	+2.105456E-01
+1.299517E+00	+2.770211E-01
+1.399189E+00	+3.439658E-01
+1.498689E+00	+4.124489E-01
+1.599279E+00	+4.808359E-01
+1.699572E+00	+5.526428E-01
+1.799382E+00	+6.261834E-01
+1.898731E+00	+7.052243E-01
+1.998865E+00	+7.729138E-01
+2.099073E+00	+8.477437E-01
+2.198724E+00	+9.237518E-01
+2.287686E+00	+9.992444E-01
+2.281343E+00	+9.993173E-01
+2.274098E+00	+9.997197E-01
+2.272006E+00	+1.000172E+00
+2.267303E+00	+1.000295E+00
+2.262641E+00	+9.995402E-01
+2.259144E+00	+9.995545E-01
+2.257173E+00	+9.997194E-01
+2.253164E+00	+9.989359E-01
+2.249381E+00	+9.999141E-01
+2.250853E+00	+1.000388E+00
+2.245346E+00	+9.999919E-01
+2.246982E+00	+9.994252E-01
+2.242338E+00	+9.984764E-01
+2.241570E+00	+9.996408E-01
+2.236062E+00	+9.993605E-01
+2.236603E+00	+9.990802E-01
+2.237999E+00	+9.994256E-01
+2.239389E+00	+9.986556E-01
+2.236869E+00	+9.997131E-01
+2.233118E+00	+9.995976E-01
+2.231871E+00	+9.997772E-01
+2.231500E+00	+9.998419E-01
+2.228034E+00	+9.987781E-01
+2.229637E+00	+9.999212E-01
+2.228247E+00	+9.996338E-01
+2.224766E+00	+9.998063E-01
+2.222623E+00	+9.994470E-01

