[0, 0, 0]
V_BE_1 (1)	I_BE_1 (1)
-4.998327E+00	-8.228116E-08
-4.899983E+00	+1.162975E-07
-4.795358E+00	+1.254735E-07
-4.701150E+00	-8.491807E-08
-4.603446E+00	-7.270742E-08
-4.508230E+00	+4.611847E-08
-4.397632E+00	+4.184135E-08
-4.301719E+00	-9.334479E-08
-4.204482E+00	+2.618589E-08
-4.103320E+00	+1.431874E-08
-3.997108E+00	+4.120312E-08
-3.899052E+00	-8.191575E-08
-3.798784E+00	+1.101189E-07
-3.698814E+00	+1.638090E-07
-3.601626E+00	-1.023105E-07
-3.505633E+00	-1.066912E-07
-3.417043E+00	+3.543486E-08
-3.299524E+00	-4.439364E-08
-3.206282E+00	-1.284739E-07
-3.100416E+00	+1.135966E-07
-2.998304E+00	+1.683872E-07
-2.900431E+00	-5.895962E-08
-2.803793E+00	-1.687779E-07
-2.698764E+00	+9.557826E-08
-2.595731E+00	+1.148933E-07
-2.501652E+00	-1.028588E-07
-2.406819E+00	-1.207617E-07
-2.305835E+00	+1.708039E-08
-2.198529E+00	-3.473982E-09
-2.095970E+00	-8.300493E-08
-1.998375E+00	+8.956870E-08
-1.892654E+00	+1.264111E-07
-1.798358E+00	-6.090728E-09
-1.697374E+00	-8.243605E-08
-1.598739E+00	+1.016123E-07
-1.492594E+00	+1.131632E-07
-1.401642E+00	-1.011487E-07
-1.299333E+00	+7.490491E-08
-1.203403E+00	+3.892613E-08
-1.097582E+00	+2.091170E-08
-9.998485E-01	-8.847483E-08
-8.998317E-01	+7.220863E-08
-8.007746E-01	+4.091755E-08
-6.981410E-01	+1.378412E-08
-6.049818E-01	-1.484721E-07
-4.991781E-01	+1.076319E-07
-3.920880E-01	+1.141742E-07
-3.009471E-01	-9.655650E-08
-2.030364E-01	-8.617266E-09
-1.075487E-01	+2.477550E-08
+1.759081E-03	+4.200389E-08
+1.007637E-01	-8.845339E-08
+2.010806E-01	+8.054602E-08
+2.943182E-01	+2.021732E-09
+4.009755E-01	+1.179823E-09
+4.995085E-01	+1.390599E-06
+5.998204E-01	+5.449617E-05
+6.994908E-01	+8.917826E-04
+8.003447E-01	+6.602151E-03
+9.002948E-01	+2.909106E-02
+9.992673E-01	+6.948195E-02
+1.099249E+00	+1.198928E-01
+1.199806E+00	+1.739840E-01
+1.299379E+00	+2.304313E-01
+1.399329E+00	+2.882515E-01
+1.499088E+00	+3.504842E-01
+1.599705E+00	+4.164806E-01
+1.698753E+00	+4.854588E-01
+1.798792E+00	+5.557188E-01
+1.898967E+00	+6.372389E-01
+1.999124E+00	+7.267071E-01
+2.099440E+00	+8.095866E-01
+2.199593E+00	+9.062532E-01
+2.281490E+00	+9.997340E-01
+2.269093E+00	+9.996913E-01
+2.261564E+00	+9.999069E-01
+2.256725E+00	+9.999573E-01
+2.252608E+00	+9.994609E-01
+2.250756E+00	+9.994894E-01
+2.245115E+00	+9.994466E-01
+2.238973E+00	+9.989736E-01
+2.235601E+00	+9.998780E-01
+2.232476E+00	+9.994248E-01
+2.229356E+00	+9.991806E-01
+2.229876E+00	+9.999933E-01
+2.225137E+00	+9.997920E-01
+2.223381E+00	+9.995263E-01
+2.224670E+00	+1.000554E+00
+2.221131E+00	+9.997987E-01
+2.216764E+00	+9.994319E-01
+2.215428E+00	+9.994755E-01
+2.217723E+00	+1.000604E+00
+2.211162E+00	+9.991592E-01
+2.210418E+00	+9.990366E-01
+2.210778E+00	+9.999137E-01
+2.210179E+00	+9.996191E-01
+2.209266E+00	+1.000014E+00
+2.202463E+00	+9.995902E-01
+2.204502E+00	+9.994537E-01
+2.204013E+00	+9.993098E-01
+2.203144E+00	+9.993316E-01

