[0, 0, 0]
V_CE_1 (1)	I_CE_1 (1)
-4.999922E+00	-6.245943E-08
-4.899820E+00	+7.988660E-08
-4.797211E+00	+4.395761E-08
-4.699234E+00	-1.860027E-08
-4.609669E+00	-9.318392E-08
-4.498010E+00	+6.813504E-08
-4.401495E+00	+1.247850E-08
-4.301943E+00	-7.054233E-08
-4.202402E+00	-1.382654E-08
-4.103154E+00	+1.767956E-08
-4.000788E+00	-1.355241E-08
-3.898426E+00	-5.225260E-08
-3.798978E+00	+1.065565E-07
-3.700668E+00	+5.446812E-08
-3.600791E+00	-7.234737E-08
-3.505659E+00	-6.123415E-08
-3.396685E+00	+5.625824E-08
-3.298082E+00	+1.835392E-09
-3.198391E+00	-5.519955E-08
-3.098345E+00	+9.593047E-08
-3.001458E+00	+1.110242E-08
-2.900346E+00	-1.894259E-08
-2.802381E+00	-5.412831E-08
-2.700258E+00	+1.067849E-07
-2.602192E+00	+1.101568E-08
-2.501836E+00	-7.081915E-08
-2.402078E+00	-2.751031E-08
-2.308472E+00	+3.064195E-08
-2.199273E+00	+1.312418E-10
-2.101725E+00	-6.630800E-08
-1.999686E+00	+8.497662E-08
-1.900477E+00	+1.729606E-08
-1.799490E+00	-1.497281E-09
-1.699907E+00	-5.167852E-08
-1.598524E+00	+1.128323E-07
-1.501111E+00	+5.309104E-08
-1.401038E+00	-5.443278E-08
-1.305043E+00	-6.552472E-08
-1.195639E+00	+5.658170E-08
-1.101111E+00	-1.982536E-08
-1.001614E+00	-7.086301E-08
-9.057980E-01	-5.293141E-08
-7.996160E-01	+5.066617E-08
-6.985146E-01	+2.732637E-09
-5.958809E-01	-5.448205E-08
-4.981484E-01	+9.200422E-08
-3.968271E-01	+4.778314E-08
-3.002093E-01	-1.539259E-08
-1.980941E-01	-5.065025E-08
-9.846912E-02	+1.115499E-07
+2.766939E-03	+5.045980E-08
+9.994772E-02	-3.029673E-08
+2.025914E-01	-5.100358E-08
+3.008689E-01	+8.442651E-08
+4.016927E-01	+3.546156E-08
+4.991775E-01	-5.237249E-08
+5.968667E-01	-7.307550E-08
+7.005140E-01	+1.115375E-07
+8.000193E-01	+5.772491E-08
+8.999665E-01	-4.308733E-08
+1.002090E+00	-4.488716E-08
+1.101692E+00	+1.135825E-07
+1.200973E+00	+5.298127E-08
+1.298563E+00	-6.490863E-08
+1.397565E+00	-7.715120E-08
+1.500917E+00	+9.268785E-08
+1.599377E+00	+5.475005E-08
+1.701173E+00	-4.597128E-08
+1.795665E+00	-4.255575E-08
+1.900014E+00	+1.187400E-07
+2.003157E+00	+2.449159E-08
+2.098166E+00	-5.735835E-08
+2.197460E+00	-6.188372E-08
+2.303487E+00	+6.627522E-08
+2.397415E+00	+1.175719E-08
+2.498513E+00	-6.737741E-08
+2.594726E+00	-3.684298E-08
+2.702575E+00	+7.163079E-08
+2.795712E+00	+1.159024E-08
+2.899069E+00	-6.676008E-08
+2.997749E+00	-1.885639E-09
+3.105567E+00	+5.844246E-08
+3.199832E+00	-1.017025E-08
+3.301044E+00	-3.811251E-08
+3.399502E+00	+9.989093E-08
+3.498156E+00	-9.605233E-09
+3.601263E+00	+6.488293E-09
+3.698021E+00	-4.975562E-08
+3.797982E+00	+5.945916E-08
+3.890129E+00	+3.791700E-08
+4.002624E+00	+7.728893E-09
+4.098863E+00	-4.522500E-08
+4.197658E+00	+6.639527E-08
+4.291183E+00	+3.723560E-08
+4.400383E+00	-7.644031E-09
+4.498621E+00	-5.054256E-08
+4.595981E+00	+7.008853E-10
+4.700655E+00	+5.398376E-08
+4.799151E+00	-4.764680E-09
+4.899502E+00	-5.387193E-08
+4.998973E+00	+3.537157E-08

