[0, 0, 0]
V_CE_1 (1)	I_C_1 (1)	V_BE_2 (1)	I_B_2 (1)	V_CE_1 (2)	I_C_1 (2)	V_BE_2 (2)	I_B_2 (2)	V_CE_1 (3)	I_C_1 (3)	V_BE_2 (3)	I_B_2 (3)	V_CE_1 (4)	I_C_1 (4)	V_BE_2 (4)	I_B_2 (4)	V_CE_1 (5)	I_C_1 (5)	V_BE_2 (5)	I_B_2 (5)
-3.583697E-04	-6.665390E-09	+2.699033E-01	+5.236800E-07	-1.467321E-03	-4.805418E-04	+6.547072E-01	+5.004900E-04	+4.077414E-03	-7.024129E-04	+6.490846E-01	+1.000362E-03	-5.600181E-04	-1.375274E-03	+6.531128E-01	+1.500418E-03	-1.567127E-04	-1.758763E-03	+6.545509E-01	+1.999501E-03
+5.377627E-02	+4.246167E-08	+3.693877E-01	-7.857679E-08	+4.883733E-02	+1.435986E-03	+7.009723E-01	+5.009023E-04	+4.873400E-02	+3.178982E-03	+6.951200E-01	+9.998757E-04	+4.984617E-02	+4.467516E-03	+6.962343E-01	+1.500133E-03	+5.024979E-02	+5.390563E-03	+6.961234E-01	+2.000525E-03
+9.965036E-02	-8.640752E-08	+4.228209E-01	-4.298310E-07	+1.000529E-01	+7.006015E-03	+7.388705E-01	+5.010350E-04	+1.000536E-01	+1.137724E-02	+7.321058E-01	+1.000521E-03	+1.000529E-01	+1.427295E-02	+7.312553E-01	+1.499875E-03	+9.883235E-02	+1.634100E-02	+7.304711E-01	+2.000733E-03
+1.487409E-01	+1.110530E-07	+4.741242E-01	+2.183377E-08	+1.491442E-01	+1.525363E-02	+7.658880E-01	+5.009884E-04	+1.497555E-01	+2.183211E-02	+7.589371E-01	+1.000005E-03	+1.492450E-01	+2.609004E-02	+7.578607E-01	+1.500398E-03	+1.495496E-01	+2.911466E-02	+7.566639E-01	+2.001744E-03
+1.994560E-01	+2.631283E-06	+5.242035E-01	+1.222121E-07	+1.994431E-01	+2.370922E-02	+7.842115E-01	+4.994975E-04	+2.000493E-01	+3.251167E-02	+7.787722E-01	+1.000105E-03	+1.986309E-01	+3.823353E-02	+7.787797E-01	+1.500519E-03	+1.992400E-01	+4.234844E-02	+7.777159E-01	+2.000561E-03
+2.493645E-01	+3.734774E-06	+5.445700E-01	+5.236886E-07	+2.503673E-01	+3.033034E-02	+7.952570E-01	+5.001279E-04	+2.488300E-01	+4.153592E-02	+7.924315E-01	+9.999763E-04	+2.486392E-01	+4.898137E-02	+7.937158E-01	+1.500551E-03	+2.489344E-01	+5.440622E-02	+7.938122E-01	+2.000926E-03
+2.975527E-01	+6.853565E-06	+5.513397E-01	+7.201862E-08	+2.998672E-01	+3.468109E-02	+8.012331E-01	+5.008450E-04	+3.001696E-01	+4.822368E-02	+8.014351E-01	+1.000227E-03	+2.998672E-01	+5.755412E-02	+8.042474E-01	+1.499849E-03	+3.000775E-01	+6.451776E-02	+8.057618E-01	+2.000683E-03
+3.490597E-01	+9.310686E-06	+5.505725E-01	-7.855743E-08	+3.487372E-01	+3.714031E-02	+8.037928E-01	+5.002427E-04	+3.496595E-01	+5.247718E-02	+8.062433E-01	+9.993743E-04	+3.490421E-01	+6.337842E-02	+8.107295E-01	+1.499304E-03	+3.500603E-01	+7.186522E-02	+8.136439E-01	+1.999637E-03
+4.002526E-01	+9.899590E-06	+5.519801E-01	+9.753585E-07	+3.997658E-01	+3.863741E-02	+8.046015E-01	+4.992931E-04	+3.996707E-01	+5.503641E-02	+8.094903E-01	+1.000069E-03	+4.001719E-01	+6.703933E-02	+8.150757E-01	+1.500032E-03	+3.997658E-01	+7.670725E-02	+8.191168E-01	+2.000761E-03
+4.503865E-01	+7.972208E-06	+5.523124E-01	-1.287756E-07	+4.498760E-01	+3.969930E-02	+8.052096E-01	+5.001496E-04	+4.499606E-01	+5.663447E-02	+8.109454E-01	+1.000320E-03	+4.490694E-01	+6.928497E-02	+8.173819E-01	+1.500215E-03	+4.500937E-01	+7.969616E-02	+8.216069E-01	+1.999322E-03
+4.987849E-01	+8.011869E-06	+5.516954E-01	-7.811684E-07	+4.991560E-01	+4.061960E-02	+8.052699E-01	+5.001997E-04	+4.993683E-01	+5.779529E-02	+8.119364E-01	+1.000442E-03	+4.999911E-01	+7.081097E-02	+8.191594E-01	+1.500469E-03	+5.001641E-01	+8.163923E-02	+8.239895E-01	+2.000554E-03
+5.470487E-01	+8.542298E-06	+5.514370E-01	-5.301921E-07	+5.500770E-01	+4.148627E-02	+8.050977E-01	+5.004687E-04	+5.498753E-01	+5.874575E-02	+8.129867E-01	+1.000399E-03	+5.501935E-01	+7.194944E-02	+8.199801E-01	+1.500143E-03	+5.493359E-01	+8.301950E-02	+8.252218E-01	+2.001400E-03
+5.987608E-01	+9.255315E-06	+5.514724E-01	+2.183234E-08	+6.000842E-01	+4.233927E-02	+8.052858E-01	+5.005796E-04	+5.996594E-01	+5.960330E-02	+8.135229E-01	+1.001632E-03	+5.997689E-01	+7.289630E-02	+8.207756E-01	+1.500011E-03	+5.998697E-01	+8.412075E-02	+8.261838E-01	+2.000368E-03
+6.539183E-01	+8.451798E-06	+5.520568E-01	+9.251435E-07	+6.494965E-01	+4.316568E-02	+8.054395E-01	+5.004181E-04	+6.496888E-01	+6.041723E-02	+8.138267E-01	+1.000220E-03	+6.492670E-01	+7.374696E-02	+8.212064E-01	+1.499133E-03	+6.495647E-01	+8.505446E-02	+8.268114E-01	+2.000654E-03
+7.007914E-01	+8.627772E-06	+5.516564E-01	-8.312431E-07	+7.001865E-01	+4.399144E-02	+8.051537E-01	+4.999203E-04	+6.997933E-01	+6.121299E-02	+8.141628E-01	+9.994096E-04	+6.985035E-01	+7.453632E-02	+8.221304E-01	+1.500472E-03	+6.996824E-01	+8.590041E-02	+8.277209E-01	+2.000911E-03
+7.461516E-01	+8.637116E-06	+5.502228E-01	+4.232996E-07	+7.492714E-01	+4.479561E-02	+8.048553E-01	+4.998092E-04	+7.495159E-01	+6.199792E-02	+8.145844E-01	+9.998613E-04	+7.495792E-01	+7.531378E-02	+8.222679E-01	+1.499617E-03	+7.498978E-01	+8.668832E-02	+8.279988E-01	+2.001192E-03
+8.000630E-01	+8.771028E-06	+5.520833E-01	+7.199927E-08	+8.002932E-01	+4.558494E-02	+8.046488E-01	+4.995298E-04	+7.995818E-01	+6.276486E-02	+8.147412E-01	+9.995318E-04	+7.998956E-01	+7.606777E-02	+8.229532E-01	+1.500064E-03	+8.001924E-01	+8.743597E-02	+8.283111E-01	+1.999996E-03
+8.534456E-01	+9.514031E-06	+5.518779E-01	+2.727699E-07	+8.499110E-01	+4.635800E-02	+8.047551E-01	+4.995330E-04	+8.494896E-01	+6.352628E-02	+8.152120E-01	+1.000019E-03	+8.494835E-01	+7.679641E-02	+8.230134E-01	+1.500968E-03	+8.497095E-01	+8.816002E-02	+8.288475E-01	+2.001178E-03
+9.023153E-01	+9.256257E-06	+5.520510E-01	+7.199712E-08	+8.994989E-01	+4.711932E-02	+8.045427E-01	+4.995010E-04	+8.998829E-01	+6.428634E-02	+8.151427E-01	+9.996824E-04	+9.003118E-01	+7.752779E-02	+8.231713E-01	+1.499617E-03	+8.995740E-01	+8.886530E-02	+8.293096E-01	+2.000768E-03
+9.499383E-01	+8.926624E-06	+5.509784E-01	+6.240589E-07	+9.489710E-01	+4.785727E-02	+8.045802E-01	+5.000132E-04	+9.499666E-01	+6.503473E-02	+8.156051E-01	+1.000385E-03	+9.497038E-01	+7.823681E-02	+8.231544E-01	+1.499079E-03	+9.495962E-01	+8.956166E-02	+8.294356E-01	+2.000590E-03
+9.998658E-01	+9.285054E-06	+5.513849E-01	+1.221978E-07	+1.000291E+00	+4.859035E-02	+8.046793E-01	+5.004826E-04	+9.995992E-01	+6.576536E-02	+8.156394E-01	+1.000578E-03	+9.992324E-01	+7.893118E-02	+8.237102E-01	+1.500154E-03	+1.000103E+00	+9.024200E-02	+8.296829E-01	+2.000282E-03
+1.048881E+00	+9.790693E-06	+5.515244E-01	+7.746153E-07	+1.049191E+00	+4.929975E-02	+8.041168E-01	+4.994543E-04	+1.049640E+00	+6.649040E-02	+8.155268E-01	+1.000263E-03	+1.049300E+00	+7.963624E-02	+8.238667E-01	+1.500817E-03	+1.050043E+00	+9.091450E-02	+8.296715E-01	+2.000345E-03
+1.099403E+00	+9.763273E-06	+5.512258E-01	-3.294710E-07	+1.100109E+00	+5.000010E-02	+8.040595E-01	+4.998701E-04	+1.099504E+00	+6.720617E-02	+8.155711E-01	+9.999549E-04	+1.099139E+00	+8.031955E-02	+8.238649E-01	+1.499892E-03	+1.099682E+00	+9.157098E-02	+8.297656E-01	+1.999837E-03
+1.144390E+00	+8.240784E-06	+5.519489E-01	-3.796365E-07	+1.150052E+00	+5.068427E-02	+8.037885E-01	+4.992929E-04	+1.148970E+00	+6.790271E-02	+8.155125E-01	+9.996180E-04	+1.149532E+00	+8.100269E-02	+8.240045E-01	+1.500529E-03	+1.149793E+00	+9.221971E-02	+8.299078E-01	+2.000883E-03
+1.195947E+00	+8.305606E-06	+5.513030E-01	-6.305260E-07	+1.200014E+00	+5.135272E-02	+8.038144E-01	+5.005008E-04	+1.199703E+00	+6.860315E-02	+8.155494E-01	+1.000041E-03	+1.198862E+00	+8.166326E-02	+8.239234E-01	+1.500072E-03	+1.199274E+00	+9.286344E-02	+8.300201E-01	+2.000497E-03
+1.247553E+00	+9.005108E-06	+5.514750E-01	-5.803888E-07	+1.248104E+00	+5.200076E-02	+8.033468E-01	+4.994437E-04	+1.249614E+00	+6.928347E-02	+8.155284E-01	+9.997756E-04	+1.249587E+00	+8.232359E-02	+8.240290E-01	+1.500989E-03	+1.249350E+00	+9.349388E-02	+8.297451E-01	+2.000561E-03
+1.296757E+00	+9.668076E-06	+5.513620E-01	+7.202077E-08	+1.299432E+00	+5.264652E-02	+8.034487E-01	+5.013825E-04	+1.299910E+00	+6.995323E-02	+8.157834E-01	+1.000743E-03	+1.299607E+00	+8.297586E-02	+8.238515E-01	+1.499950E-03	+1.299919E+00	+9.412649E-02	+8.297618E-01	+2.000646E-03
+1.350488E+00	+8.018578E-06	+5.516664E-01	+2.185671E-08	+1.349509E+00	+5.328299E-02	+8.030974E-01	+5.004040E-04	+1.349106E+00	+7.061090E-02	+8.155116E-01	+9.998543E-04	+1.349720E+00	+8.361598E-02	+8.239192E-01	+1.500283E-03	+1.349480E+00	+9.474012E-02	+8.295032E-01	+1.999838E-03
+1.395015E+00	+8.283619E-06	+5.516728E-01	-6.306478E-07	+1.399522E+00	+5.390022E-02	+8.028435E-01	+5.008162E-04	+1.398706E+00	+7.125339E-02	+8.151739E-01	+1.000299E-03	+1.400358E+00	+8.424824E-02	+8.237344E-01	+1.500043E-03	+1.399622E+00	+9.535009E-02	+8.294972E-01	+2.001693E-03
+1.446629E+00	+9.377914E-06	+5.526709E-01	+9.753423E-07	+1.449160E+00	+5.449860E-02	+8.024907E-01	+5.004076E-04	+1.450192E+00	+7.190763E-02	+8.149858E-01	+9.992239E-04	+1.448958E+00	+8.485560E-02	+8.235697E-01	+1.500154E-03	+1.449716E+00	+9.594660E-02	+8.294040E-01	+2.000704E-03
