[0, 0, 0]
Base_Voltage_1 (1)	Base_Current_1 (1)	Collector_Voltage_2 (1)	Collector_Current_2 (1)
+4.998433E-01	+8.197403E-09	+4.999401E-01	+1.240867E-06
+5.048446E-01	+9.867199E-09	+5.049402E-01	+1.510763E-06
+5.098788E-01	+1.191080E-08	+5.099393E-01	+1.841807E-06
+5.148778E-01	+1.435647E-08	+5.149389E-01	+2.239661E-06
+5.198764E-01	+1.726511E-08	+5.199356E-01	+2.717221E-06
+5.248736E-01	+2.076057E-08	+5.249346E-01	+3.294171E-06
+5.299089E-01	+2.497691E-08	+5.298993E-01	+3.997907E-06
+5.349078E-01	+3.005323E-08	+5.348976E-01	+4.851051E-06
+5.399095E-01	+3.619981E-08	+5.398960E-01	+5.884742E-06
+5.449074E-01	+4.353324E-08	+5.448970E-01	+7.143735E-06
+5.499057E-01	+5.248496E-08	+5.498981E-01	+8.686103E-06
+5.549426E-01	+7.840598E-08	+5.548820E-01	+1.059236E-05
+5.599288E-01	+7.669075E-08	+5.598896E-01	+1.288412E-05
+5.649185E-01	+9.262582E-08	+5.648926E-01	+1.567490E-05
+5.699053E-01	+1.118832E-07	+5.698974E-01	+1.905850E-05
+5.748934E-01	+1.350020E-07	+5.749047E-01	+2.313027E-05
+5.799174E-01	+1.628118E-07	+5.799047E-01	+2.808215E-05
+5.849022E-01	+1.960709E-07	+5.849178E-01	+3.403566E-05
+5.898927E-01	+2.360219E-07	+5.899147E-01	+4.123052E-05
+5.948801E-01	+2.840541E-07	+5.949224E-01	+4.994386E-05
+5.999034E-01	+3.426049E-07	+5.999271E-01	+6.064758E-05
+6.048916E-01	+4.132401E-07	+6.049311E-01	+7.364828E-05
+6.098824E-01	+4.990874E-07	+6.099404E-01	+8.953848E-05
+6.148641E-01	+3.060009E-06	+6.149249E-01	+1.089273E-04
+6.198606E-01	+7.305209E-07	+6.199474E-01	+1.326220E-04
+6.248842E-01	+8.832256E-07	+6.249134E-01	+1.611638E-04
+6.298445E-01	+1.059476E-06	+6.299323E-01	+1.944136E-04
+6.348339E-01	+1.276958E-06	+6.349474E-01	+2.354522E-04
+6.398212E-01	+1.538907E-06	+6.399583E-01	+2.852481E-04
+6.448444E-01	+1.857519E-06	+6.449487E-01	+3.461013E-04
+6.498311E-01	+2.240371E-06	+6.499626E-01	+4.196723E-04
+6.548203E-01	+2.705925E-06	+6.549932E-01	+5.092258E-04
+6.598066E-01	+3.268723E-06	+6.599830E-01	+6.176658E-04
+6.647957E-01	+3.947217E-06	+6.649277E-01	+7.485185E-04
+6.698194E-01	+4.770460E-06	+6.697805E-01	+9.073028E-04
+6.748017E-01	+2.061140E-05	+6.749825E-01	+1.096834E-03
+6.797995E-01	+6.933105E-06	+6.799770E-01	+1.326859E-03
+6.847880E-01	+8.349572E-06	+6.849826E-01	+1.601726E-03
+6.898125E-01	+1.006663E-05	+6.899868E-01	+1.935049E-03
+6.947842E-01	+1.209653E-05	+6.949912E-01	+2.329450E-03
+6.997826E-01	+1.456386E-05	+6.999926E-01	+2.806494E-03
+7.047802E-01	+1.752106E-05	+7.049870E-01	+3.376314E-03
+7.097824E-01	+2.105944E-05	+7.100012E-01	+4.054809E-03
+7.148149E-01	+2.532302E-05	+7.150090E-01	+4.866872E-03
+7.198162E-01	+3.037316E-05	+7.200130E-01	+5.821173E-03
+7.248176E-01	+3.637648E-05	+7.249936E-01	+6.944037E-03
+7.298167E-01	+4.349398E-05	+7.300258E-01	+8.260343E-03
+7.348523E-01	+5.198436E-05	+7.350417E-01	+9.805848E-03
+7.398530E-01	+6.222691E-05	+7.399778E-01	+1.156333E-02
+7.448555E-01	+7.358892E-05	+7.449758E-01	+1.359289E-02
+7.498578E-01	+8.733494E-05	+7.499776E-01	+1.583201E-02
+7.548578E-01	+1.034597E-04	+7.549719E-01	+1.818235E-02
+7.598744E-01	+1.228107E-04	+7.599666E-01	+2.061111E-02
+7.648753E-01	+1.448480E-04	+7.649548E-01	+2.299326E-02
+7.698648E-01	+1.706317E-04	+7.699545E-01	+2.540896E-02
+7.748637E-01	+2.007579E-04	+7.749493E-01	+2.788550E-02
+7.798969E-01	+2.360992E-04	+7.799129E-01	+3.045578E-02
+7.848986E-01	+2.767041E-04	+7.849125E-01	+3.309529E-02
+7.898957E-01	+3.235649E-04	+7.899101E-01	+3.583344E-02
+7.948967E-01	+3.772777E-04	+7.949080E-01	+3.867505E-02
+7.998957E-01	+4.385717E-04	+7.999037E-01	+4.162792E-02
+8.049313E-01	+5.084997E-04	+8.049034E-01	+4.470931E-02
+8.099307E-01	+5.872099E-04	+8.099017E-01	+4.789498E-02
+8.149343E-01	+6.754308E-04	+8.148997E-01	+5.119696E-02
+8.199341E-01	+7.742608E-04	+8.198982E-01	+5.462482E-02
+8.249338E-01	+8.837627E-04	+8.248981E-01	+5.816410E-02
+8.299685E-01	+1.005938E-03	+8.298941E-01	+6.185280E-02
+8.349509E-01	+1.144297E-03	+8.348906E-01	+6.574539E-02
+8.399412E-01	+1.287631E-03	+8.398975E-01	+6.957661E-02
+8.449293E-01	+1.444136E-03	+8.449033E-01	+7.351643E-02
+8.499507E-01	+1.614962E-03	+8.499073E-01	+7.758552E-02
+8.549401E-01	+1.798651E-03	+8.549137E-01	+8.173159E-02
+8.599269E-01	+1.995925E-03	+8.599182E-01	+8.596716E-02
+8.649127E-01	+2.205882E-03	+8.649238E-01	+9.026620E-02
+8.698995E-01	+2.429858E-03	+8.699267E-01	+9.464370E-02
+8.749208E-01	+2.667981E-03	+8.749353E-01	+9.909746E-02
+8.799084E-01	+2.918767E-03	+8.799410E-01	+1.035913E-01
+8.848985E-01	+3.192773E-03	+8.849230E-01	+1.077124E-01
+8.898854E-01	+3.445651E-03	+8.899278E-01	+1.124503E-01
+8.949050E-01	+3.741496E-03	+8.949316E-01	+1.171407E-01
+8.998940E-01	+4.047020E-03	+8.999370E-01	+1.218255E-01

