[0, 0, 0]
Base_Voltage_1 (1)	Base_Current_1 (1)	Collector_Voltage_2 (1)	Collector_Current_2 (1)	beta
0.285447	9.478072e-010	2.999144	1.284229e-007	135.49475040915
0.443498	1.104581e-009	2.999158	1.541704e-007	139.57364828836
0.448055	1.310127e-009	2.999151	1.846962e-007	140.97579852946
0.452048	1.514991e-009	2.999174	2.157721e-007	142.42467447001
0.455972	1.752824e-009	2.999175	2.517395e-007	143.61938220837
0.460422	2.060119e-009	2.999186	2.983175e-007	144.80595538413
0.464645	2.401521e-009	2.999197	3.515413e-007	146.38277158517
0.469111	2.811248e-009	2.999203	4.143649e-007	147.39535608385
0.473263	3.255877e-009	2.999215	4.839587e-007	148.64157951913
0.477563	3.80237e-009	2.999219	5.704935e-007	150.03629315401
0.481732	4.398771e-009	2.999245	6.649322e-007	151.16317716926
0.485969	5.098627e-009	2.969732	7.767704e-007	152.34893629206
0.490623	5.952529e-009	2.99915	9.127609e-007	153.34001732709
0.494659	6.907612e-009	2.999146	1.06843e-006	154.67429264991
0.498768	8.000256e-009	2.999147	1.248172e-006	156.01650747176
0.502943	9.297082e-009	2.99915	1.460814e-006	157.12607461137
0.507017	1.079934e-008	2.999161	1.70873e-006	158.22541007136
0.511065	1.254e-008	2.999158	2.001263e-006	159.59035087719
0.515207	1.458739e-008	2.999164	2.344691e-006	160.73409979441
0.51926	1.694309e-008	2.999174	2.740929e-006	161.77267546829
0.523296	1.967419e-008	2.999186	3.203317e-006	162.81824054764
0.527324	2.282991e-008	2.999185	3.74342e-006	163.96998498899
0.531371	2.651723e-008	2.999213	4.37633e-006	165.03722296786
0.535434	3.08172e-008	2.999223	5.117843e-006	166.07099282219
0.53944	3.574189e-008	2.999243	5.971906e-006	167.08422526061
0.543472	4.149456e-008	2.999258	6.973206e-006	168.05108910662
0.547509	4.818412e-008	2.999274	8.145105e-006	169.04127334898
0.551549	5.596701e-008	2.999296	9.51672e-006	170.04160129333
0.554724	6.496032e-008	2.999155	1.110576e-005	170.96221200881
0.559478	7.54161e-008	2.999164	1.296575e-005	171.92283875724
