Optical Power Monitor 4.0.4100.700

Power Meter;PM100USB
Power Meter SN;P2008717
Sensor;S120VC
Sensor SN;17072805
Sensor Type;Photodiode
Wavelength;518 nm
Range;Auto

Start of Measurement;10/29/2024 19:52:46
Elapsed Time;00:02:04:999
Samples;36237

--Statistics--
Minimum [W];6,414E-08
Maximum [W];0,007128
Mean [W];0,00048687
Standard Deviation [W];0,0013986
Ratio;111131,899 : 1

--Graph Data--
Time (ms);Power (W)
7,790;2,3889E-07
10,613;2,5683E-07
13,239;2,6336E-07
15,935;2,5841E-07
18,542;2,4701E-07
21,236;2,3916E-07
23,981;2,424E-07
26,571;2,5343E-07
29,631;2,6287E-07
32,243;2,5985E-07
36,434;2,472E-07
42,736;2,3942E-07
45,579;2,6245E-07
48,251;2,6154E-07
50,889;2,5165E-07
53,634;2,4063E-07
64,311;2,3991E-07
67,215;2,5305E-07
69,885;2,4176E-07
72,568;2,395E-07
75,212;2,4777E-07
77,886;2,5939E-07
80,544;2,6317E-07
84,929;2,5562E-07
87,862;2,3916E-07
90,530;2,4248E-07
93,200;2,5324E-07
95,854;2,6294E-07
98,765;2,6105E-07
101,558;2,4901E-07
104,212;2,395E-07
106,843;2,4139E-07
109,529;2,518E-07
112,203;2,6241E-07
114,897;2,617E-07
117,529;2,5192E-07
120,165;2,4074E-07
122,841;2,3991E-07
125,529;2,4924E-07
128,201;2,6045E-07
130,863;2,6279E-07
133,528;2,5441E-07
136,169;2,4305E-07
138,838;2,3904E-07
141,527;2,4644E-07
144,204;2,5803E-07
146,891;2,6321E-07
149,571;2,5686E-07
152,208;2,4576E-07
154,843;2,3882E-07
157,492;2,4354E-07
160,202;2,5464E-07
162,852;2,6305E-07
165,493;2,6E-07
168,166;2,4901E-07
170,838;2,395E-07
173,488;2,4116E-07
176,171;2,5165E-07
178,819;2,6166E-07
181,533;2,5969E-07
184,166;2,4686E-07
186,839;2,324E-07
189,484;2,2704E-07
192,689;2,3146E-07
195,498;2,3957E-07
198,153;2,3602E-07
200,848;2,2394E-07
203,494;2,1149E-07
206,154;2,0941E-07
208,834;2,1741E-07
211,485;2,2779E-07
214,156;2,2961E-07
216,849;2,2134E-07
219,486;2,0979E-07
222,156;2,0571E-07
224,857;2,1254E-07
227,484;2,2394E-07
230,165;2,2889E-07
232,851;2,2292E-07
235,487;2,1183E-07
241,237;2,0511E-07
270,154;2,2334E-07
272,832;2,0563E-07
275,531;2,1435E-07
278,173;2,2542E-07
280,875;2,281E-07
283,749;2,2002E-07
287,266;2,0767E-07
290,182;2,0665E-07
292,817;2,1696E-07
295,504;2,2723E-07
298,177;2,2696E-07
300,809;2,1734E-07
303,509;2,0654E-07
306,177;2,0545E-07
308,831;2,142E-07
311,511;2,2542E-07
314,180;2,2783E-07
317,328;2,2009E-07
320,177;2,0665E-07
322,816;2,0537E-07
325,527;2,1417E-07
328,192;2,2545E-07
330,990;2,2798E-07
333,803;2,1885E-07
336,532;2,0782E-07
339,180;2,0503E-07
341,816;2,1288E-07
344,500;2,2425E-07
347,135;2,2844E-07
349,811;2,2134E-07
352,503;2,1013E-07
355,171;2,0465E-07
357,806;2,1032E-07
360,519;2,2119E-07
363,117;2,284E-07
365,811;2,2428E-07
368,508;2,1337E-07
371,124;2,0484E-07
373,822;2,076E-07
376,909;2,1817E-07
379,827;2,2836E-07
383,266;2,2443E-07
386,141;2,0888E-07
388,828;2,0484E-07
391,502;2,1164E-07
394,289;2,2304E-07
397,141;2,2844E-07
400,044;2,2157E-07
402,827;2,0915E-07
405,502;2,048E-07
408,362;2,1167E-07
411,132;2,2432E-07
413,813;2,2851E-07
416,509;2,2172E-07
419,130;2,1047E-07
421,820;2,048E-07
424,517;2,1009E-07
428,102;2,2134E-07
431,135;2,2832E-07
433,824;2,1907E-07
436,513;2,0801E-07
439,199;2,0507E-07
441,811;2,1284E-07
444,511;2,2421E-07
447,237;2,2863E-07
450,135;2,2043E-07
452,790;2,0915E-07
456,328;2,0492E-07
459,129;2,1553E-07
461,811;2,2644E-07
464,508;2,2783E-07
467,123;2,1938E-07
469,814;2,0813E-07
472,508;2,0514E-07
475,136;2,1284E-07
477,810;2,2421E-07
480,507;2,2851E-07
483,138;2,2194E-07
488,051;2,1062E-07
491,417;2,0873E-07
494,144;2,2289E-07
496,767;2,287E-07
499,481;2,2319E-07
502,130;2,1224E-07
505,461;2,0484E-07
508,130;2,1149E-07
511,224;2,2281E-07
514,154;2,2829E-07
516,764;2,2062E-07
519,508;2,0918E-07
522,299;2,0484E-07
525,139;2,1262E-07
