Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 0.000000e+00	 1.68749509e-02	-3.37612505e+00	-4.20022576e+03	-0.00000000e+00	 1.0000e+18	 6.2639e-38	 1.0000e+18
 1.000000e+01	 1.64549283e-02	-3.37654507e+00	-4.46961552e+03	-0.00000000e+00	 1.0141e+18	 6.1629e-38	 1.0000e+18
 2.000000e+01	 1.60079668e-02	-3.37699203e+00	-5.02928150e+03	-0.00000000e+00	 1.0294e+18	 6.0573e-38	 1.0000e+18
 3.000000e+01	 1.55050386e-02	-3.37749496e+00	-5.92005973e+03	-0.00000000e+00	 1.0468e+18	 5.9406e-38	 1.0000e+18
 4.000000e+01	 1.49130327e-02	-3.37808697e+00	-7.20674837e+03	-0.00000000e+00	 1.0676e+18	 5.8061e-38	 1.0000e+18
 5.000000e+01	 1.41923578e-02	-3.37880764e+00	-8.98447950e+03	-0.00000000e+00	 1.0933e+18	 5.6465e-38	 1.0000e+18
 6.000000e+01	 1.32939099e-02	-3.37970609e+00	-1.13885447e+04	-0.00000000e+00	 1.1262e+18	 5.4536e-38	 1.0000e+18
 7.000000e+01	 1.21550554e-02	-3.38084494e+00	-1.46095147e+04	-0.00000000e+00	 1.1691e+18	 5.2186e-38	 1.0000e+18
 8.000000e+01	 1.06941039e-02	-3.38230590e+00	-1.89168388e+04	-0.00000000e+00	 1.2261e+18	 4.9318e-38	 1.0000e+18
 9.000000e+01	 8.80242006e-03	-3.38419758e+00	-2.46966199e+04	-0.00000000e+00	 1.3034e+18	 4.5838e-38	 1.0000e+18
 1.000000e+02	 6.33275807e-03	-3.38666724e+00	-3.25141350e+04	-0.00000000e+00	 1.4104e+18	 4.1662e-38	 1.0000e+18
 1.100000e+02	 3.08134457e-03	-3.38991866e+00	-4.32215527e+04	-0.00000000e+00	 1.5621e+18	 3.6738e-38	 1.0000e+18
 1.200000e+02	-1.24081069e-03	-3.39424081e+00	-5.81522235e+04	-0.00000000e+00	 1.7839e+18	 3.1082e-38	 1.0000e+18
 1.300000e+02	-7.05603305e-03	-3.40005603e+00	-7.94892253e+04	-0.00000000e+00	 2.1202e+18	 2.4821e-38	 1.0000e+18
 1.400000e+02	-1.50049556e-02	-3.40800496e+00	-1.11002280e+05	-0.00000000e+00	 2.6544e+18	 1.8251e-38	 1.0000e+18
 1.500000e+02	-2.61051836e-02	-3.41910518e+00	-1.59598254e+05	-0.00000000e+00	 3.5513e+18	 1.1880e-38	 1.0000e+18
 1.600000e+02	-4.20650090e-02	-3.43506501e+00	-2.38729277e+05	-0.00000000e+00	 5.1544e+18	 6.4076e-39	 1.0000e+18
 1.700000e+02	-6.59379367e-02	-3.45893794e+00	-3.76176657e+05	-0.00000000e+00	 8.2160e+18	 2.5448e-39	 1.0000e+18
 1.800000e+02	-1.03555602e-01	-3.49655560e+00	-6.33027029e+05	-0.00000000e+00	 1.4485e+19	 5.9388e-40	 1.0000e+18
 1.900000e+02	-1.66858305e-01	-3.55985831e+00	-1.15735662e+06	-0.00000000e+00	 2.8527e+19	 5.1317e-41	 1.0000e+18
 2.000000e+02	-1.01059397e+00	-3.37059397e+00	 3.57432243e+06	 0.00000000e+00	 1.4605e+20	 7.7582e-38	 3.9446e+20
 2.100000e+02	-6.53161725e-01	-3.01316173e+00	 2.14619459e+06	 0.00000000e+00	 7.5977e+19	 7.8408e-32	 1.0000e+18
