Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
 0.000000e+00	 1.20000000e+00	-2.76000000e+00	-6.63842191e+05	-0.00000000e+00	 1.5562e-02	 1.4038e-27	 1.0000e+15
 1.000000e+00	 1.19336158e+00	-2.76663842e+00	-6.63840245e+05	 0.00000000e+00	 2.0118e-02	 1.0859e-27	 1.0000e+15
 2.000000e+00	 1.18672318e+00	-2.77327682e+00	-6.63838299e+05	 0.00000000e+00	 2.6008e-02	 8.3994e-28	 1.0000e+15
 3.000000e+00	 1.18008479e+00	-2.77991521e+00	-6.63836354e+05	 0.00000000e+00	 3.3623e-02	 6.4973e-28	 1.0000e+15
 4.000000e+00	 1.17344643e+00	-2.78655357e+00	-6.63834408e+05	 0.00000000e+00	 4.3466e-02	 5.0259e-28	 1.0000e+15
 5.000000e+00	 1.16680809e+00	-2.79319191e+00	-6.63832462e+05	 0.00000000e+00	 5.6191e-02	 3.8877e-28	 1.0000e+15
 6.000000e+00	 1.16016976e+00	-2.79983024e+00	-6.63830516e+05	 0.00000000e+00	 7.2642e-02	 3.0073e-28	 1.0000e+15
 7.000000e+00	 1.15353146e+00	-2.80646854e+00	-6.63828571e+05	 0.00000000e+00	 9.3909e-02	 2.3262e-28	 1.0000e+15
 8.000000e+00	 1.14689317e+00	-2.81310683e+00	-6.63826625e+05	 0.00000000e+00	 1.2140e-01	 1.7994e-28	 1.0000e+15
 9.000000e+00	 1.14025490e+00	-2.81974510e+00	-6.63824679e+05	 0.00000000e+00	 1.5694e-01	 1.3919e-28	 1.0000e+15
 1.000000e+01	 1.13361666e+00	-2.82638334e+00	-6.63822733e+05	 0.00000000e+00	 2.0289e-01	 1.0767e-28	 1.0000e+15
 1.100000e+01	 1.12697843e+00	-2.83302157e+00	-6.63820788e+05	 0.00000000e+00	 2.6229e-01	 8.3288e-29	 1.0000e+15
 1.200000e+01	 1.12034022e+00	-2.83965978e+00	-6.63818842e+05	 0.00000000e+00	 3.3908e-01	 6.4427e-29	 1.0000e+15
 1.300000e+01	 1.11370203e+00	-2.84629797e+00	-6.63816896e+05	 0.00000000e+00	 4.3834e-01	 4.9837e-29	 1.0000e+15
 1.400000e+01	 1.10706386e+00	-2.85293614e+00	-6.63814951e+05	 0.00000000e+00	 5.6667e-01	 3.8551e-29	 1.0000e+15
 1.500000e+01	 1.10042571e+00	-2.85957429e+00	-6.63813005e+05	 0.00000000e+00	 7.3256e-01	 2.9821e-29	 1.0000e+15
 1.600000e+01	 1.09378758e+00	-2.86621242e+00	-6.63811059e+05	 0.00000000e+00	 9.4702e-01	 2.3067e-29	 1.0000e+15
